screen_name,fav,rt,tweet,tweet_url
KevBeirne,10816,1408,"Arsenal in                Posh people
the transfer                   at uni
market

                         🤝… https://t.co/JKJDcwJCU1",https://twitter.com/KevBeirne/status/1155055791298273280
JAYBUMAOM,3167,520,dope artist and good human being that broke down barriers and influenced the culture in a positive way. https://t.co/jtxqJEziRN,https://twitter.com/JAYBUMAOM/status/1155509677389541376
obianuju,1077,365,7weeks ago a Catholic Bishop politely stated Church’s position on pride parades and the internet broke👉🏾articles we… https://t.co/h1vGhlCdU0,https://twitter.com/obianuju/status/1155427694307414016
ASLuhn,663,451,Numerous journalists have been detained and/or beaten at the Moscow city council protests. Police hit well-known ph… https://t.co/0A5o4VJbEE,https://twitter.com/ASLuhn/status/1155169390649851904
trixiemattel,14768,493,I called hotel security and broke up a party of loud straight people. 👴🏻 https://t.co/Mp72KiTI1i,https://twitter.com/trixiemattel/status/1155491117762142209
arjunsethi81,195,175,"""An intruder at the Sikh Temple Modesto Ceres broke windows late Thursday at a priest’s home on temple grounds, pun… https://t.co/SoZtdkLg5C",https://twitter.com/arjunsethi81/status/1155159699576229888
JeremyMcLellan,2788,169,hey @dcislamabad this man broke into my hotel room and won’t leave can you please help https://t.co/Xksc3iRAxs,https://twitter.com/JeremyMcLellan/status/1155418513244221441
is_salsu,519,149,You might be very broke but little did you know that God is about to bless you for your strategic work everyday. Pl… https://t.co/mMibTcotxq,https://twitter.com/is_salsu/status/1155217296232787968
gurunkz,2142,190,"if you have struggled in life and you are still broke, get married because some of this women hold the key to ur su… https://t.co/ZkByAlOB0i",https://twitter.com/gurunkz/status/1155102550473019392
renoomokri,553,184,"How the RICH get RICHER and the POOR get POORER:

Billionaire entrepreneurs make products and give to entertainers… https://t.co/l01beD6ypw",https://twitter.com/renoomokri/status/1155029260760952833
ChiefsReporter,821,93,"#ChiefsKingdom broke the attendance record for non-stadium #ChiefsCamp practices yesterday, and today, they broke t… https://t.co/JZQsP0769W",https://twitter.com/ChiefsReporter/status/1155587122692329479
Amy_Siskind,2122,944,“The US's largest election equipment manufacturer has begun quietly lobbying Congress to force all voting equipment… https://t.co/w08h4n7pDm,https://twitter.com/Amy_Siskind/status/1155099721352011777
voxdotcom,259,168,"There are nearly 1,000 school district boundaries in the US that draw a sharp line between two separate and unequal… https://t.co/yjaq4H2QrL",https://twitter.com/voxdotcom/status/1155333056967970816
Inc,202,73,"An 81-year Harvard study can’t be wrong. Get this right to live a happy, mentally sharp life. https://t.co/HvqWCkGuv8",https://twitter.com/Inc/status/1155452355330154521
SpursOfficial,3203,313,"Looking sharp, lads! 👌

Our new Express Collection is now available 👉 https://t.co/WeMRicCTlQ

#THFC ⚪️ #COYS https://t.co/774u1Jx7oS",https://twitter.com/SpursOfficial/status/1155167240733515778
SHOsports,450,164,"Sharp. Focused. Ready.

@Gervontaa defends his title in Baltimore TONIGHT 9PM ET/6PM PT, only on @Showtime.… https://t.co/sc5BgYhHIV",https://twitter.com/SHOsports/status/1155175785579372551
F1,1576,149,"6 minutes to go in Q1

Bottas has yet to set a lap - Hamilton is ahead of only the Williams drivers 

The Mercedes… https://t.co/P3kKlMjEzt",https://twitter.com/F1/status/1155103914645213185
ThatEricAlper,830,125,"1979, you did good in a year of music:
London Calling 
Damn the Torpedoes 
Fear of Music 
Armed Forces 
Off the Wal… https://t.co/0dWibC8FiK",https://twitter.com/ThatEricAlper/status/1155304406033817603
Jeff_McLane,634,76,"After a not-especially sharp practice, particularly on deep throws, Carson Wentz got some extra work in with DeSean… https://t.co/r0NgmCJeFA",https://twitter.com/Jeff_McLane/status/1155141170550456325
UberFacts,854,95,"Abraham Lincoln had a high-pitched voice that some described as shrill, sharp, and unpleasant.",https://twitter.com/UberFacts/status/1155117388117008385
dillondanis,1991,80,Jersey tough! Frankie is a absolute warrior but Max was just too sharp great win for a great champion.,https://twitter.com/dillondanis/status/1155342981626564608
AaronNagler,1249,62,Rodgers is sharp as hell today.,https://twitter.com/AaronNagler/status/1155511599316131840
1RossGittins,89,72,The Libs seem to dislike and distrust their public servants https://t.co/rvu9vsGPC0 #ausecon #ausbiz #auspol @theage @smh,https://twitter.com/1RossGittins/status/1155573051603316737
jeffzrebiec,433,49,"Lamar Jackson has been pretty sharp tonight. He's missed a few, but overall, he's improved each practice so far. Ju… https://t.co/D9IxAcdIHJ",https://twitter.com/jeffzrebiec/status/1155268661957005312
Starting9,3110,454,"Best parts about this vid:

1. Mike Freeman fearing for his life
2. The infield watching the ball sail into orbit
3… https://t.co/84Y6avMcn5",https://twitter.com/Starting9/status/1155574804415520768
